TimeStamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2016-05-02 02:20:53.418,-9.400000e-01,-2.100000e-01,-3.200000e-01,2.260000e+00,-1.670000e+00,-1.220000e+00
2016-05-02 02:20:53.564,-8.700000e-01,-1.600000e-01,-3.300000e-01,-7.900000e-01,-2.230000e+00,-7.400000e-01
2016-05-02 02:20:53.662,-9.300000e-01,-2.600000e-01,-2.800000e-01,3.800000e+00,-1.470000e+00,-1.880000e+00
2016-05-02 02:20:53.759,-9.200000e-01,-1.700000e-01,-3.200000e-01,-1.500000e-01,-2.580000e+00,1.050000e+00
2016-05-02 02:20:53.906,-8.700000e-01,-1.700000e-01,-2.400000e-01,-3.400000e-01,6.600000e-01,-1.160000e+00
2016-05-02 02:20:54.003,-9.600000e-01,-2.300000e-01,-2.800000e-01,1.140000e+00,-4.530000e+00,-1.200000e+00
2016-05-02 02:20:54.148,-7.800000e-01,-2.100000e-01,-3.400000e-01,4.880000e+00,-3.500000e-01,1.900000e-01
2016-05-02 02:20:54.245,-9.100000e-01,-1.700000e-01,-2.700000e-01,1.530000e+00,6.300000e-01,-4.440000e+00
2016-05-02 02:20:54.392,-8.800000e-01,-2.000000e-01,-2.800000e-01,4.120000e+00,-9.000000e-01,-6.270000e+00
2016-05-02 02:20:54.490,-9.600000e-01,-1.900000e-01,-2.300000e-01,-9.300000e-01,-2.260000e+00,-4.080000e+00
2016-05-02 02:20:54.637,-9.000000e-01,-1.300000e-01,-2.800000e-01,-4.000000e-02,-2.230000e+00,1.660000e+00
2016-05-02 02:20:54.734,-9.500000e-01,-1.800000e-01,-3.300000e-01,1.100000e+00,-2.050000e+00,2.490000e+00
2016-05-02 02:20:54.880,-9.700000e-01,-2.300000e-01,-2.600000e-01,1.580000e+00,9.000000e-02,4.100000e-01
2016-05-02 02:20:54.977,-8.800000e-01,-2.000000e-01,-2.200000e-01,3.830000e+00,-3.220000e+00,-1.864000e+01
2016-05-02 02:20:55.130,-9.800000e-01,8.000000e-02,-2.800000e-01,-4.750000e+00,-2.120000e+00,-1.423000e+01
2016-05-02 02:20:55.222,-1,3.700000e-01,-2.500000e-01,-6.180000e+01,-2.484000e+01,1.739800e+02
2016-05-02 02:20:55.320,-1.560000e+00,9.400000e-01,-2.500000e-01,-2.750000e+00,-20,2.539900e+02
2016-05-02 02:20:55.467,-6.200000e-01,8.700000e-01,-3.100000e-01,-2.990000e+01,1.933000e+01,2.463800e+02
2016-05-02 02:20:55.565,-6.600000e-01,6.700000e-01,-4.500000e-01,-6.093000e+01,3.033000e+01,1.364800e+02
